entity_id,timestamp,amount,income,credit_score,delinquencies,market_index,label
胜利股份,2023-01-01,998.04,13204,566,0,1013,0
胜利股份,2023-01-31,831.38,13734,592,1,997,0
胜利股份,2023-03-02,908.69,13214,590,0,1005,0
胜利股份,2023-04-01,822.0,13179,592,0,998,0
胜利股份,2023-05-01,414.53,12982,568,0,991,0
胜利股份,2023-05-31,557.86,13260,567,0,1018,0
胜利股份,2023-06-30,742.9,13075,580,0,1008,0
胜利股份,2023-07-30,894.37,13246,560,0,1004,0
胜利股份,2023-08-29,1200.03,13056,593,0,1010,1
胜利股份,2023-09-28,1199.16,13609,581,0,1015,1
胜利股份,2023-10-28,1133.28,13767,576,0,1024,0
胜利股份,2023-11-27,955.69,13214,564,0,999,0
胜利股份,2023-12-27,643.25,13355,580,0,987,0
胜利股份,2024-01-26,620.66,13694,562,0,980,0
胜利股份,2024-02-25,616.95,13449,582,0,1029,0
胜利股份,2024-03-26,760.12,13631,593,0,990,0
胜利股份,2024-04-25,1038.22,13210,560,0,995,0
胜利股份,2024-05-25,439.08,13250,562,0,1030,0
中利集团,2023-01-01,655.74,12197,742,1,978,0
中利集团,2023-01-31,1135.22,12044,748,0,1017,0
中利集团,2023-03-02,339.68,12200,736,0,978,0
中利集团,2023-04-01,529.38,12313,744,1,973,0
中利集团,2023-05-01,892.55,11955,740,0,994,0
中利集团,2023-05-31,689.69,12182,751,0,1003,0
中利集团,2023-06-30,797.18,12757,713,0,977,0
中利集团,2023-07-30,1117.34,12490,747,0,1019,0
中利集团,2023-08-29,723.06,12237,723,0,1016,0
中利集团,2023-09-28,705.84,12688,729,0,1018,0
中利集团,2023-10-28,1039.25,12683,753,0,1010,0
中利集团,2023-11-27,1297.45,12311,751,0,993,0
中利集团,2023-12-27,824.44,12589,746,0,1008,0
中利集团,2024-01-26,489.68,12123,744,1,1029,0
中利集团,2024-02-25,326.57,12618,732,0,985,0
中利集团,2024-03-26,1350.94,12691,749,0,975,0
中利集团,2024-04-25,747.82,12570,747,0,978,0
中利集团,2024-05-25,342.95,12467,743,0,980,0
盘龙药业,2023-01-01,982.42,7058,699,0,1014,0
盘龙药业,2023-01-31,611.6,7047,684,0,1012,0
盘龙药业,2023-03-02,642.06,7371,693,1,984,0
盘龙药业,2023-04-01,582.96,6907,686,2,1005,0
盘龙药业,2023-05-01,821.97,6914,705,3,974,0
盘龙药业,2023-05-31,974.96,7769,667,2,974,0
盘龙药业,2023-06-30,598.81,7339,678,1,1016,0
盘龙药业,2023-07-30,782.06,7799,701,0,985,0
盘龙药业,2023-08-29,897.94,7036,671,1,997,0
盘龙药业,2023-09-28,356.87,7204,692,0,1025,0
盘龙药业,2023-10-28,750.97,7503,671,1,1016,0
盘龙药业,2023-11-27,429.24,7189,671,0,982,0
盘龙药业,2023-12-27,666.15,7029,682,0,1025,0
盘龙药业,2024-01-26,768.94,7787,669,0,1025,0
盘龙药业,2024-02-25,870.1,7509,699,0,975,0
盘龙药业,2024-03-26,710.75,7790,680,0,1001,0
盘龙药业,2024-04-25,303.44,7766,668,0,970,0
盘龙药业,2024-05-25,858.43,7241,681,0,1020,0
